ID,Birth date,Birth place,Highschool graduation date,Highschool,Studies level,Degree,ESB entry date,Bac type,Current class,Semester 1 class,Degree level,Gender,Nationality,Class level,Previous class,Previous year result,Highschool graduation grade,Final score,Region
ID1,1996,Tunis,2020,Lycee Tunis,3.0,BA,2023,Bac Economie,2-BA-2,2-BA-2,2,M,TUNISIENNE,5,1-BA-2,Admis(e),10.61,-1.0,Tunis
ID2,2002,Tunis,2021,Lycee Ezzahra,3.0,MKD,2024,Bac Informatique,1-MKD-1,1-MKD-1,1,M,TUNISIENNE,4,External,Admis(e),12.91,-1.0,Ben Arous
ID3,2003,Tunis,2024,Lycee Asdrubal Bardo,0.0,LSG,2024,Bac Economie,1-LSG-1,1-LSG-1,1,M,TUNISIENNE,1,External,Admis(e),9.81,-1.0,Ariana
ID4,1999,Tunis,2021,Lycee Les Pères Blancs,3.0,MDSI,2021,Bac Economie,1-MDSI-1,1-MDSI-1,1,F,TUNISIENNE,4,3-LSG-4,Admis(e) - Bien,12.0,-1.0,Tunis
ID5,1999,Bizerte,2020,Lycee Bhira Bizerte,0.0,LSG,2023,Bac Economie,2-LSG-3,2-LSG-3,2,M,TUNISIENNE,2,1-LSG-8,Admis(e) - Passable,10.48,-1.0,Bizerte
ID6,2004,Tunis,2024,Lycee El Ghazela,0.0,LSG,2024,Bac Economie,1-LSG-5,1-LSG-5,1,M,TUNISIENNE,1,External,Admis(e),10.25,-1.0,Ariana
ID7,2004,Tunis,2024,Lycee El Ahdeth El Mourouj 6,0.0,LBC,2024,Bac Economie,1-LBC-8,1-LBC-8,1,M,TUNISIENNE,1,External,Admis(e),10.07,-1.0,Ben Arous
ID8,2002,Gafsa,2022,Lycee Nabeul,0.0,LBC,2022,Bac Economie,3LBC-BIS-1,3LBC-BIS-1,3,M,TUNISIENNE,3,2-LBC-BIS6,Admis(e) - Bien,11.9,-1.0,Nabeul
ID9,2003,Benguerden,2022,Lycee Bengarden,0.0,LBC,2022,Bac Economie,3LBC-BIS-5,3LBC-BIS-5,3,F,TUNISIENNE,3,2-LBC-BIS5,Admis(e) - Passable,11.34,-1.0,Ariana
ID10,2004,Sfax,2023,Lycee Borj Cedria,0.0,LBC,2024,Bac Informatique,1-LBC-1,1-LBC-1,1,F,TUNISIENNE,1,External,Admis(e),10.1,-1.0,Ben Arous
ID11,1999,Tunis,2021,Lycee Pilote Bourguiba Tunis,3.0,BA,2021,Bac Sciences,1-BA-8,1-BA-8,1,M,TUNISIENNE,4,1DSI-AS2-1,Admis(e) - Bien,12.0,-1.0,Tunis
ID12,2000,Tunis,2020,Lycee Tunis,3.0,MDSI,2023,Bac Math,2-MDSI-4,2-MDSI-4,2,F,TUNISIENNE,5,1-MDSI-4,Admis(e) - Passable,11.06,-1.0,Tunis
ID13,2004,Menzah,2022,Lycee Carthage,0.0,LBC,2023,Bac Economie,2-LBC-9,2-LBC-9,2,M,TUNISIENNE,2,1-LBC-12,Admis(e) - Missing credits,13.22,-1.0,Tunis
ID14,2001,Sfax,2020,Lycee 14 Janvier - Sousse,0.0,LBC,2023,Bac Technique,2-LBC-8,2-LBC-8,2,M,TUNISIENNE,2,1-LBC-11,Admis(e) - Passable,9.43,-1.0,Sousse
ID15,2001,Tunis,2020,Lycee Tunis,0.0,LSG,2020,Bac Technique,3-LSC-2,3-LSC-2,3,F,TUNISIENNE,3,2-LSC-1,Admis(e) - Bien,11.83,-1.0,Tunis
ID16,2001,Medenine,2023,Lycee Technique Medenine,0.0,LBC,2023,Bac Technique,2-LBC-1,2-LBC-1,2,F,TUNISIENNE,2,2-LBC-BIS4,Exclu(e),10.0,-1.0,Tunis
ID17,1999,Kelibia,2021,Lycee Lyceé Abdelaziz El Khouja,3.0,MDSI,2021,Bac Economie,1-MDSI-3,1-MDSI-3,1,F,TUNISIENNE,4,3-LSG-4,Admis(e) - Passable,10.0,-1.0,Tunis
ID18,2003,Gabès,2022,Lycee Gabes,0.0,LMAD,2022,Bac Math,3-LMAD-1,3-LMAD-1,3,M,TUNISIENNE,3,2-LMAD-1,Admis(e) - Passable,11.83,-1.0,Gabès
