Sector,Occupation,Skills,Tasks
Bank - Finance,Investment Director,"['Negotiation skills', 'Analytical and synthesis skills', 'Autonomy, rigor, relational sense', 'Good team spirit']","['Under the supervision of the fund manager, the investment director ensures the sourcing of projects, the negotiation of investment projects and the active management of a portfolio of investments. Discover the job of investment director: the missions, the training to follow, the opportunities and his salary.']"
Bank - Finance,Mergers and Acquisitions Advisor,"['Multidisciplinary expertise and sense of risk', 'Bilingual or trilingual', 'Good interpersonal skills', 'Intuitive Mind', 'Fine negotiator']","['The merger and acquisition advisor is the person who leads companies in their financial operations: he/she guides them in the purchase of companies, the sale of subsidiaries, mergers, etc. Everything you need to know about the job of merger and acquisition advisor: their missions, skills, training, opportunities and salary.', 'Also called', 'or', 'the', 'is responsible for supporting his employer (client of his firm, bank, company, etc.) in the process of developing complex financial structures, such as IPOs, mergers, purchases or sales of companies.']"
Bank - Finance,Asset Manager,"['Interest in finance and understanding of financial markets', 'Taste for numbers and mastery of analysis tools', 'Proficiency in English and/or another language', 'Do you have a sense of leadership?', 'Curious and daring', 'Manager at heart', 'Responsive and calm']","[""A financial specialist, the asset manager (or portfolio manager) invests his or her clients' funds in companies listed on the stock exchange to increase their value. A profession that requires good analysis, leadership and good stress management. Learn all about the job of asset manager: its missions, training, salary and opportunities."", 'To carry out his', 'and to ensure the best possible return for his client, he keeps himself constantly informed of developments in the financial markets and in the life of companies and is ready for the slightest change in situation. He must be responsive and have a']"
Bank - Finance,Private equity operator,"['English proficiency', 'Interest and understanding of the world of finance', 'Analytical mind, ability to synthesize', 'Rigor and precision', 'Interpersonal and communication skills', 'Stress resistance and high work capacity']","['The private equity operator, or financial operations and products advisor, helps companies to finance or develop. Learn all about the job of a private equity operator: their missions, training and salary.']"
Bank - Finance,Compliance Officer,"['Solid knowledge in legal, technical and managerial fields', 'Diplomacy and pedagogy', 'Adaptability', 'Sense of rigor and responsibility', 'Sense of organization and detail', 'Ability to work in a team but also independently', 'Writing skills', 'Good resistance to stress']","['A key player in the ongoing control system, the compliance officer, also called ""Compliance Officer"" or ""Compliance Analyst"", is the guarantor of the proper application of the rules and codes of ethics within his banking establishment. Find out everything about the job of compliance officer: missions, qualities, training, opportunities and salary!']"
Bank - Finance,Commercial inspector,"['Demonstrate leadership', 'Negotiation and business skills', 'Spirit of synthesis and analysis', ""Esprit d'initiative"", 'Diplomacy and interpersonal skills']","['The commercial inspector is responsible for the commercial development of a brand or company in a given geographical area. Everything you need to know about the job of commercial inspector: missions, training, salary, opportunities.', ""L'"", 'has multiple missions. He must provide technical and commercial support, negotiate objectives to be achieved, the means and budget necessary to achieve them, design and implement commercial action plans, ensure regular monitoring, quantitatively and qualitatively, of commercial results and participate in the recruitment and training of teams.']"
Bank - Finance,Governance analyst,"['Excellent general knowledge of CSR (Corporate Social Responsibility)', 'Excellent knowledge and understanding of corporate governance', 'Knowledge of financial and legal analysis', 'Curiosity', 'Analytical capacity', 'Excellent written and oral communication', 'Sense of rigor', 'Sense of responsibility', 'Fluent English.']","['The governance analyst, otherwise known as an ""ESG analyst"" (environmental, social and governance), supports investors and asset managers in designing ESG strategies. Find out about the job of governance analyst: the missions, the training required to become a governance analyst, the salary, the opportunities.']"
Bank - Finance,Receptionist,"['Business and hospitality sense', 'Taste for selling', 'Good interpersonal skills', 'Good organization and rigor']","['The mission of the bank receptionist is to welcome customers into the branch. He/she participates in business development through the sale of payment methods, remote banking services and savings accounts. Everything you need to know about the job of receptionist: their missions, skills, training, opportunities and salary.']"
Bank - Finance,Market operator (trader),"['Curiosity and mastery of economics, mathematics, computer science', 'Bilingual or excellent level of English', 'Physical resistance and moral strength of steel', 'Taste for risk and rigor']","[""The market operator, more commonly called a trader, is responsible for purchasing financial products on the market: shares, exchange rates, bonds, etc. Find out everything about the market operator's missions, training, salary and opportunities with this job description.""]"
Bank - Finance,Back and middle office operator,"['Technical skills in IT', 'Great rigor, analytical mind', 'Good interpersonal skills', 'Ability to work in a team']","['The men and women of the front office would be nothing without the back and middle office operators. The latter are distinguished by two key qualities: analytical mind and intellectual rigor. We demand them. Learn everything about the missions of the back and middle office operator, their training, their salary and the opportunities thanks to this job description.']"
Bank - Finance,Project Finance Manager,"['Technical skills in finance', 'Project management skills', 'Interest in the commercial world', 'Capacity for analysis and synthesis', 'Rigor and organization', 'Creativity and innovation', 'Team spirit', 'Integrity and professional ethics']","['The project finance manager is first and foremost a banker. However, his/her clients are not individuals, but public entities or private clients in the context of infrastructure projects (telecoms, transport, construction, energy, etc.). He/she builds tailor-made financing solutions for his/her clients, taking into account deadlines, costs and risks. Find out everything about his/her missions, training, salary and job offers.']"
Advertising - Marketing,Affiliation Manager,"['Mastery of advertising adserving software', 'Sense of negotiation and interpersonal skills', 'Good commercial and web marketing culture', 'Reactivity and anticipation', 'Spirit of synthesis', 'Be a force for proposals', 'Writing skills']","[""The affiliate manager forms partnerships/affiliate programs to generate qualified traffic on the company's website or on the websites of the clients of the agency that employs him. Learn all about this job: its daily missions, its opportunities and its salary.""]"
Internet - Web,Optical Studies Officer,"['Proficiency in computer tools and architectural software such as AutoCAD.', 'Creative and proactive', 'Sense of contact and customer service', 'Network design mastery']","['Supervisor, the fiber optic project manager analyzes the field and works upstream of the chain. Discover all the information relating to this job on this job description: its salary, training, skills and daily missions!', 'L', 'is in charge of several projects assigned to him by his management. It is therefore up to him to coordinate his teams composed of FTTH designers/projectors to carry out their missions.', ""and his team must also work closely with the field teams to ensure the project. But before inviting the field teams to begin installing the fiber optics, the project manager and his teams must conceptualize the installation and the final appearance of the project. The project manager must also conduct preliminary studies on the ground and have his teams' observations verified. These observations generate digital and paper reference documents allowing the team members working on site to visualize the space and the measurements of the terrain. The project manager must also update the mapping and documents over time because the terrain is often subject to change."", ""must thus enable his entire team to complete the fiber route best suited to the needs and desires of the customer. He must therefore submit to the realities on the ground, the company's budget and the wishes of the customer. As a supervisor, he mainly acts on the project from its design to testing. He allows the project to be visualized and conceptualized before the work on the ground.""]"
Economy,Actuary,"['Taste for mathematics', 'Rigor, precision and organization', 'Sense of analysis and spirit of synthesis', 'Sense of contact', 'Curiosity', 'Creative mind']","['THE', 'are varied. He may be entrusted with missions of', 'or technical studies. The actuary develops formulas in order to set the rates as accurately as possible for each category of contract. In addition, he carries out', 'allowing their profitability to be predicted in the medium and long term.', 'Another mission of the actuary: assist operational services in assessing risks. Based on past claims, he determines the', 'It is also responsible for calculating the amount of monetary reserves that the company must have in order to be able to honor its commitments to its policyholders.']"
